Observation,Reward
"[9.062963848391685e-06, -2.396380276142189e-06, 1.0000326013464376, 7.815821677525287e-05, -2.1186258973981572e-05, 4.844259744280944e-05]",-9.37443076379243e-06
"[9.345252940861632e-06, -2.4707057516968846e-06, 1.000032988239991, 6.774938219278732e-05, -1.7838114133126945e-05, 9.285445280209217e-05]",-9.66634054025364e-06
"[9.615674002459232e-06, -2.540715091365942e-06, 1.0000334986039623, 6.490105478342417e-05, -1.6802241520573756e-05, 0.00012248735311724438]",-9.945673415966613e-06
"[9.867572288665649e-06, -2.623680678848519e-06, 1.0000337588915218, 6.0455588689540145e-05, -1.9911740995818503e-05, 6.246901426158525e-05]",-1.0210420323209288e-05
"[1.0170067955872445e-05, -2.7120994906901844e-06, 1.0000337757851925, 7.259896012963109e-05, -2.1220514841999653e-05, 4.054480965073804e-06]",-1.052548174073118e-05
"[1.0463309155757795e-05, -2.817914101185362e-06, 1.000033623908863, 7.03778879724841e-05, -2.539550651884269e-05, -3.6450319103899004e-05]",-1.0836119156350405e-05
"[1.0713533292229874e-05, -2.9372570142582184e-06, 1.0000334248432015, 6.005379275329875e-05, -2.8642299137485474e-05, -4.777575877713712e-05]",-1.1108882678808296e-05
"[1.0982659860153783e-05, -3.067067255992178e-06, 1.0000331722759472, 6.459037630173819e-05, -3.115445801615037e-05, -6.0616141015115e-05]",-1.1402882054840894e-05
"[1.1262843792134444e-05, -3.1831293199884627e-06, 1.0000331550133845, 6.724414367535862e-05, -2.785489535910834e-05, -4.143015039281531e-06]",-1.1704014804920216e-05
"[1.1527878894758282e-05, -3.2889246245395536e-06, 1.0000333434799595, 6.360842462972119e-05, -2.5390873092261784e-05, 4.5231978003980794e-05]",-1.1987869577123203e-05
"[1.1830423673762321e-05, -3.3968550291131923e-06, 1.0000337314083265, 7.261074696096942e-05, -2.590329709767332e-05, 9.310280807073626e-05]",-1.2308434034820496e-05
"[1.2124335281237828e-05, -3.496927759861584e-06, 1.0000340891811055, 7.053878579412148e-05, -2.4017455379614063e-05, 8.586546695351308e-05]",-1.2618558149390877e-05
"[1.2414471949389781e-05, -3.581016280622251e-06, 1.00003462640958, 6.96328003564689e-05, -2.0181244982560065e-05, 0.00012893483392933006]",-1.2920634325924843e-05
"[1.2669800632660533e-05, -3.6763292201928147e-06, 1.0000349879043278, 6.127888398498044e-05, -2.287510549693526e-05, 8.675873946231947e-05]",-1.3192393437379311e-05
"[1.2963462321811583e-05, -3.7750388707380503e-06, 1.0000355581730647, 7.047880539625183e-05, -2.3690316130856575e-05, 0.00013686449684992077]",-1.3501935929510693e-05
"[1.3287973153668473e-05, -3.883796668956885e-06, 1.0000361989097668, 7.788259964565394e-05, -2.6101871572520288e-05, 0.00015377680849491294]",-1.3843919499130825e-05
"[1.364921893822688e-05, -3.976102735336628e-06, 1.0000369336662946, 8.669898829401756e-05, -2.215345593113837e-05, 0.00017634156665690648]",-1.4216559731018005e-05
"[1.4056146855580311e-05, -4.062315272314688e-06, 1.0000375953334295, 9.766270016482357e-05, -2.0691008874734405e-05, 0.00015880011238652696]",-1.4631393296515592e-05
"[1.4480285890951377e-05, -4.158634506882961e-06, 1.000038465307276, 0.00010179336848905591, -2.311661629638532e-05, 0.00020879372315291763]",-1.5065620479937863e-05
"[1.4942533243838451e-05, -4.264607800540345e-06, 1.0000391973438982, 0.00011093936469289787, -2.5433590477772247e-05, 0.00017568878934053628]",-1.553918207099868e-05
"[1.543306869832583e-05, -4.38333916558151e-06, 1.000039894197151, 0.00011772850907697081, -2.8495527609879418e-05, 0.00016724478062257907]",-1.6043480659999103e-05
"[1.5957546886477405e-05, -4.489443565824983e-06, 1.0000403770489839, 0.00012587476515637776, -2.546505605843365e-05, 0.00011588443992769463]",-1.65770445545897e-05
"[1.649183356630768e-05, -4.5878389317520655e-06, 1.0000408482210406, 0.00012822880315926602, -2.3614887822499733e-05, 0.00011308129361173068]",-1.711808518621439e-05
"[1.7022976491877152e-05, -4.6816957334808395e-06, 1.0000412383793396, 0.00012747430213667403, -2.2525632414905822e-05, 9.363799174645599e-05]",-1.7655027714050604e-05
"[1.7587830975078782e-05, -4.791039238046404e-06, 1.0000414626280807, 0.00013556507596839155, -2.6242441095735387e-05, 5.3819697883306816e-05]",-1.8228709646830217e-05
"[1.813967996973157e-05, -4.886832250386576e-06, 1.000041505054792, 0.00013244375871666864, -2.2990322961641268e-05, 1.0182410715447085e-05]",-1.8786407821818917e-05
"[1.868910252342551e-05, -4.9982067508448925e-06, 1.0000413111142812, 0.00013186141288654553, -2.672988010999595e-05, -4.6545722609410475e-05]",-1.934592008293483e-05
"[1.9192202719726444e-05, -5.10366269229779e-06, 1.0000413299061413, 0.00012074404711222461, -2.5309425948695384e-05, 4.510046410762636e-06]",-1.985920487108755e-05
"[1.967662814512093e-05, -5.210186373623038e-06, 1.0000411637645419, 0.00011626210209467655, -2.556568351805932e-05, -3.987398385412957e-05]",-2.0354747289250542e-05
"[2.020348484440237e-05, -5.310222131219043e-06, 1.0000407811469634, 0.00012644560782754655, -2.400858182304129e-05, -9.182821886111166e-05]",-2.088969264831067e-05
"[2.0755795164285444e-05, -5.426539928392802e-06, 1.0000404357735362, 0.0001325544767719375, -2.7916271321702164e-05, -8.28896225261739e-05]",-2.14534465412021e-05
"[2.134389963090024e-05, -5.527100494202517e-06, 1.0000399073358748, 0.0001411450719875512, -2.4134535794331733e-05, -0.00012682503875164486]",-2.204792260796824e-05
"[2.1926782132145623e-05, -5.615066255702599e-06, 1.0000396035255306, 0.00013989180029889183, -2.1111782760019605e-05, -7.291448261410507e-05]",-2.2634326668282194e-05
"[2.2463576535192855e-05, -5.688110598179657e-06, 1.0000393692881433, 0.0001288306567313361, -1.7530642194493723e-05, -5.621697293349686e-05]",-2.3172545672186965e-05
"[2.29588804944916e-05, -5.7663972479210054e-06, 1.0000390373640242, 0.00011887295023169849, -1.8788795937923643e-05, -7.966178857102235e-05]",-2.3671956631870925e-05
"[2.3406244445484053e-05, -5.8533708076632796e-06, 1.000038600931258, 0.00010736734823818868, -2.08736543381458e-05, -0.00010474386389928935]",-2.412704351663829e-05
"[2.3820071223636325e-05, -5.930683416266745e-06, 1.000038074208611, 9.931842675654503e-05, -1.855502606483178e-05, -0.0001264134352823943]",-2.4547276811962028e-05
"[2.41877148921495e-05, -6.013126010961962e-06, 1.000037310361637, 8.823448044316184e-05, -1.978622272685209e-05, -0.00018332327377190973]",-2.4923949047605157e-05
"[2.453541662098564e-05, -6.079785186610912e-06, 1.0000363246912478, 8.34484149206739e-05, -1.5998202155748028e-05, -0.0002365608933977676]",-2.5277469348822715e-05
"[2.4854321990684935e-05, -6.131501126282533e-06, 1.0000353230051346, 7.653728872783059e-05, -1.241182552118882e-05, -0.00024040466714132902]",-2.5599465378758374e-05
"[2.5128516272236544e-05, -6.174405647856147e-06, 1.0000343969809091, 6.580662757238605e-05, -1.029708517766747e-05, -0.0002222458141371899]",-2.5875965975173462e-05
"[2.540442150185482e-05, -6.219334844246285e-06, 1.0000336210997007, 6.621725510838642e-05, -1.0783007133632962e-05, -0.00018621149002076573]",-2.6154631669147236e-05
"[2.569400259841654e-05, -6.279593872407973e-06, 1.000032606711138, 6.949946317481275e-05, -1.4462166758805242e-05, -0.00024345325503250792]",-2.645023759306936e-05
"[2.5988552638090823e-05, -6.348423453629131e-06, 1.0000316657004449, 7.069200952182822e-05, -1.6519099493077756e-05, -0.00022584256633768362]",-2.6752707312894633e-05
"[2.627429331023939e-05, -6.430945296550298e-06, 1.0000305178961808, 6.857776131565642e-05, -1.9805242301080256e-05, -0.0002754730233925385]",-2.704987146660244e-05
"[2.6535712109894197e-05, -6.529388466754684e-06, 1.0000294668967225, 6.27405119171532e-05, -2.3626360849052645e-05, -0.00025223987001259454]",-2.732721959748146e-05
